,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order,MAE,MAPE,MASE,MSE,RMSLE,RMSSE,SMAPE,WAPE
0,WeightedEnsemble,-0.45288764080064065,-0.48579541750076544,9.42701768875122,16.896501064300537,2.9963324069976807,13,-0.2865825160888675,-0.17989810044673293,-0.6662483640328949,-0.2051072151899701,-0.15042313342663619,-0.7903589504269097,-0.1769230416513677,-0.18103417513490136
1,ChronosFineTuned[bolt_small],-0.45364730043175233,-0.48851095053358,1.262803554534912,0.18262267112731934,70.79867744445801,8,-0.28765883901113315,-0.18066953567614658,-0.6677803553370546,-0.20579587318901654,-0.15092193609850565,-0.7910900352137309,-0.177452522465585,-0.18171408832385086
2,TemporalFusionTransformer,-0.4761177678781033,-0.51562164694028,0.7499682903289795,0.5927221775054932,248.07950901985168,9,-0.30156748293569113,-0.18650182178630167,-0.6958649568026437,-0.22668812888922746,-0.1614460273245803,-0.8191669330362673,-0.19010074851012282,-0.19050017867748087
3,TiDE,-0.47754841264334386,-0.5037028493432352,1.3933799266815186,1.6671106815338135,592.6366958618164,12,-0.3038771837790851,-0.1891738239975618,-0.704578689675924,-0.22805248641817744,-0.159820086373138,-0.8273192178582502,-0.18794305843324133,-0.1919592166980088
4,DeepAR,-0.4800539228257998,-0.5230085564935838,2.2083864212036133,1.4156060218811035,238.26254272460938,10,-0.30673368745635554,-0.19441310747811397,-0.7064729381715715,-0.2304517688204389,-0.15907232464310816,-0.8198231782493954,-0.18994074875369385,-0.1937636700681652
5,ChronosZeroShot[bolt_base],-0.4809372042716036,-0.5338893582044347,1.3357739448547363,2.0608811378479004,0.005524635314941406,7,-0.30643349647066387,-0.1954072163761983,-0.7072478501533875,-0.23130059445258613,-0.1601294148586284,-0.8268032979747256,-0.18918471339244194,-0.19357403942279544
6,PatchTST,-0.48400886504785373,-0.5130127567018803,0.7935926914215088,0.7548854351043701,110.19583892822266,11,-0.3056891905606393,-0.19717895695890897,-0.711457211687208,-0.2342645814449115,-0.16003729814666945,-0.8351564257696241,-0.1892737796905042,-0.19310386138015606
7,DynamicOptimizedTheta,-0.49792171296716986,-0.5362114438563644,2.164569139480591,82.9154417514801,0.6617763042449951,5,-0.3163940628950862,-0.20023416097632207,-0.7208767598608293,-0.2479260322441607,-0.16480560563393268,-0.8307478407116562,-0.19279408335783166,-0.1998661292234256
8,AutoETS,-0.500153122432506,-0.535460151892932,24.417686223983765,24.50075054168701,0.659966230392456,6,-0.3167227538682738,-0.20079168140824602,-0.7194206358696195,-0.25015314587898535,-0.16513684153483657,-0.8314288698104135,-0.19223128401865325,-0.20007376331086887
9,RecursiveTabular,-0.5475275496737273,-0.5804850706612117,8.344207525253296,4.423827648162842,404.823189496994,2,-0.3577876846136707,-0.22897211539372392,-0.8176933167980898,-0.2997864176517159,-0.18328518360028417,-0.9287946140333612,-0.2207235141782041,-0.22601448002283847
10,DirectTabular,-0.6624340679987856,-0.721560272977826,2.9350194931030273,1.491011619567871,325.35988664627075,3,-0.44016250973841003,-0.2938452970243074,-1.0020698874166472,-0.43881889444541966,-0.21859872899097066,-1.1209895735672637,-0.2650611115277426,-0.27805065697410297
11,SeasonalNaive,-0.7212316921788254,-0.755608994428236,1.4574165344238281,13.6936354637146,0.5570940971374512,1,-0.4798681021625653,-0.30239313461367384,-1.071029897587103,-0.5201751538031321,-0.2368732795102781,-1.1587372757979262,-0.2865639202239443,-0.30313267966986496
12,NPTS,-0.7709933905893106,-0.8320156507846675,4.555678367614746,13.6311616897583,0.5677895545959473,4,-0.5537350857568978,-0.39594702825251543,-1.2897611055250888,-0.5944308083324013,-0.2646883620862674,-1.3426307909497324,-0.34190332581340954,-0.34979445313463753
